question,answer,options,type
'中国共产党率先举起抗日旗帜的具体表现有哪些？','A:积极倡导民族自卫战争，九一八事变后第三天发表反对日本帝国主义侵略的宣言。 B:1932年4月15日，中华苏维埃共和国临时中央政府宣布对日作战。 C:直接领导了东北人民的抗日武装斗争 D:组建察哈尔民众抗日同盟军','A:积极倡导民族自卫战争，九一八事变后第三天发表反对日本帝国主义侵略的宣言。 B:1932年4月15日，中华苏维埃共和国临时中央政府宣布对日作战。 C:直接领导了东北人民的抗日武装斗争 D:组建察哈尔民众抗日同盟军','多选题'
'中国共产党领导是中国特色社会主义最_____的特征。','本质','A:本质 B:根本 C:重要 D:基本',
'中国共产党领导是中国特色社会主义_____的特征，是中国特色社会主义制度的最大优势。','最本质','A:最基本 B:最重要 C:最本质 D:最核心','单选题'
'中国共产党领导是党和国家的_____所在、命脉所在。','根本',,
'中国共产党领导的第一次工人运动高潮的顶点是_____。','京汉铁路工人大罢工','A:香港海员大罢工 B:安源路矿工人大罢工 C:开滦煤矿工人大罢工 D:京汉铁路工人大罢工',
'中国共产党历史上唯一一次在国外召开的全国代表大会是______。','六大',,
'中国共产党历史上第一次独立自主地解决自己问题的会议是_____。','遵义会议','A:遵义会议 B:古田会议 C:三湾改编 D:八七会议','单选题'
'中国共产党和中国人民以英勇顽强的奋斗向世界庄严宣告，_____是决定当代中国前途命运的关键一招。','改革开放','A:自立自强 B:改革开放 C:科技创新 D:科学发展',
'中国共产党和中国人民以英勇顽强的奋斗向世界庄严宣告，_____是决定当代中国前途命运的关键一招，中国大踏步赶上了时代！','改革开放','A:改革开放 B:依法治国 C:社会主义现代化建设 D:社会主义市场经济','单选题'
'中国共产党第一次全国代表大会正式宣告中国共产党的成立，在这次大会共取得了哪些成果？','通过了中国共产党的纲领 确定党的名称为中国共产党 通过了《关于当前实际工作的决议》 选举产生了由陈独秀、张国焘、李达组成的中央临时领导机构-中央局','A:通过了中国共产党的纲领 B:确定党的名称为中国共产党 C:通过了《关于当前实际工作的决议》 D:选举产生了由陈独秀、张国焘、李达组成的中央临时领导机构-中央局',
'中国共产党第一次全国代表大会召开前，各地党组织主要进行了哪些建党工作？','A:研究和宣传马克思主义 B:同反马克思主义思潮展开论战 C:开展对工人的宣传和组织工作 D:建立社会主义青年团','A:研究和宣传马克思主义 B:同反马克思主义思潮展开论战 C:开展对工人的宣传和组织工作 D:建立社会主义青年团','多选题'
'中国共产党第一次全国代表大会于_____年在上海法租界望志路106号（今兴业路76号）召开','1921','A:1920 B:1921 C:1922 D:1923',
'中国共产党第一次全国代表大会选举产生的中央临时领导机构是_____。','中央局',,
'中国共产党第一次全国代表大会的中心议题是？','正式建立中国共产党','A:确定党的名称 B:成立中央局 C:通过党的纲领 D:正式建立中国共产党','单选题'
'中国共产党第十九次全国代表大会，是在全面建成小康社会决胜阶段、中国特色社会主义进入______的关键时期召开的一次十分重要的大会。','新时代','A:新时期 B:新阶段 C:新征程 D:新时代','单选题'
'中国共产党的哪次会议，确立毛泽东思想为全党的指导思想，并写入党章。','七大','A:六届六中全会 B:六届七中全会 C:七大 D:十二月会议','单选题'
'中国共产党的第七次全国代表大会于_____年4月在延安举行。','1945年','A:1942年 B:1943年 C:1944年 D:1945年','单选题'
'中国共产党的第_____大，把“三个代表”重要思想写入党章，列入党的指导思想。','十六大','A:十六大 B:十五大 C:十四大 D:十七大',
'中国共产党创立的第一块农村革命根据地是_____。','井冈山革命根据地','A:闽浙赣根据地 B:湘鄂西根据地 C:井冈山革命根据地 D:鄂豫皖根据地','单选题'
'中国共产党成立的历史条件有哪些？','A:马克思主义在中国的广泛传播为中国共产党成立奠定了思想基础 B:工人阶级的成长和工人运动的发展为中国共产党成立奠定了阶级基础 C:具有初步共产主义觉悟的知识分子成长起来，推动了马克思主义与工人运动的结合，为中国共产党成立做了思想和干部上的准备 D:列宁领导的共产国际从各个方面给予帮助','A:马克思主义在中国的广泛传播为中国共产党成立奠定了思想基础 B:工人阶级的成长和工人运动的发展为中国共产党成立奠定了阶级基础 C:具有初步共产主义觉悟的知识分子成长起来，推动了马克思主义与工人运动的结合，为中国共产党成立做了思想和干部上的准备 D:列宁领导的共产国际从各个方面给予帮助','多选题'
'中国共产党产生的阶级基础是_____和_____。','中国工人阶级的成长壮大工人运动的迅速发展',,
'中国革命胜利的根本原因是_____。','C:中国共产党的正确领导','A:具有深刻的社会根源 B:具有深厚的群众基础 C:中国共产党的正确领导 D:得到国际无产阶级和人民群众的支持','单选题'
'中国革命的主要力量是_____。','农民力量','A:农民力量 B:工人力量 C:城市小资产阶级力量 D:开明绅士和地方实力派','单选题'
'中国电科的质量理念是质量是生存和发展的生命线。','正确',,
'中国电科的使命定位是军工电子主力军、网信事业国家队、国家战略科技力量。','正确','A:正确 B:错误 ','判断题'
'中国电科的人才理念是人才优先。','正确','A:正确 B:错误 ','判断题'
'中国电科的企业精神是以下哪些？','忠于使命 勇于创新 善于协同 成于务实',,
'中国电科的廉洁理念是清白做人、干净做事。','正确','A:正确 B:错误 ','判断题'
'中国电科的经营理念是科技赋能、创新价值。','错误',,
'中国电科的核心价值观是以下哪些？','责任 创新 卓越 共享','A:责任 B:创新 C:卓越 D:共享',
'中国电科的安全理念是以人为本、安全发展','正确','A:正确 B:错误 ','判断题'
'中国电科“_____”以规则美观的字形、活波跃动的色彩和超越极限的符号为基本元素，在直截了当表明中国电科身份的同时，突出了科技特征，传达了向上超越的创新力量的标志寓意。','CETC','A:CETC B:CETHIK C:HIKVISION D:PHENIX','单选题'
'中国电科CETC标志以积极乐观的_____为主色，是中国电科的事业激情与发展热情，同时也表达了全体电科人履行的使命作为；方形内_____表达了中国电科矢志不渝追求卓越、探索未知的信念，_____沉静、睿智，刻画出科技服务人类的隐性特点，整体交相辉映，彰显出“成为电子信息领域具有全球影响力的科技型企业集团”的科技梦想！','红色、紫色、蓝色','A:红色、紫色、蓝色 B:紫色、红色、蓝色 C:蓝色、紫色、红色 D:蓝色、红色、紫色','单选题'
'中国第一个青年团早期组织上海社会主义青年团的负责人是 。','俞秀松','A:施存统 B:俞秀松 C:张太雷 D:任弼时','单选题'
'中国第一个青年团早期组织诞生后，为了便于团结和培养进步青年，并且为输送青年赴苏俄学习作准备，1920年9月在团的机关所在地创办了_____ 。','外国语学社','A:工学世界社 B:外国语学社 C:改造社 D:觉悟社',
'中国第一个青年团早期组织 社会主义青年团是于1920年8月诞生的。','上海','A:北京 B:上海 C:广州 D:天津','单选题'
'中国的先进分子为什么会选择马克思主义？','A:北洋军阀的黑暗统治 B:新文化运动所掀起的思想解放潮流 C:旧民主主义革命的失败和俄国十月革命胜利的鲜明对比 D:工人阶级登上历史舞台，使中国的先进分子对马克思主义运用于中国革命的前景产生希望','A:北洋军阀的黑暗统治 B:新文化运动所掀起的思想解放潮流 C:旧民主主义革命的失败和俄国十月革命胜利的鲜明对比 D:工人阶级登上历史舞台，使中国的先进分子对马克思主义运用于中国革命的前景产生希望','多选题'
'中共中央总书记习近平所定义的“中国梦”是指_____。','实现中华民族的伟大复兴','A:综合国力排全球第一 B:实现中华民族的伟大复兴 C:国内生产总值跃居世界第一 D:成为世界强国','单选题'
'中共中央总书记、国家主席、中央军委主席习近平2020年7月21日下午在京主持召开企业家座谈会并发表重要讲话，强调激发市场主体活力，弘扬_______，推动企业发挥更大作用实现更大发展。','企业家精神','A:奉献精神 B:科学家精神 C:企业家精神 D:科研精神','单选题'
'中共中央主席毛泽东亲自审定了青年团二大的工作报告、团章草案和团中央委员候选人名单，还接见了大会主席团全体成员，即席发表了题为_____的重要谈话。','《青年团的工作要照顾青年的特点》','A:《关于开展毛泽东著作的学习运动的提法问题》 B:《关于对学生进行思想政治教育中的几个问题》 C:《青年团的工作要照顾青年的特点》 D:《加强党对青年团的领导》','单选题'
'中共中央政治局2021年12月27日至28日召开党史学习教育专题民主生活会。习近平主持会议并发表重要讲话指出，在新的赶考之路上，我们能否继续交出优异答卷，关键在于有没有坚定的_____。','历史自信','A:文化自信 B:历史自信 C:道路自信 D:理论自信','单选题'
'中共十一届三中全会以后，率先进行经济体制改革的是_____。','农村','A:沿海地区 B:农村 C:内路 D:城市','单选题'
'中共十七大《报告》指出，科学发展、社会和谐是发展中国特色社会主义的基本要求。','正确','A:正确 B:错误 ','判断题'
'中共十九大的主题是：不忘初心，_____，高举中国特色社会主义伟大旗帜，决胜全面建成小康社会，夺取新时代中国特色社会主义伟大胜利，为实现中华民族伟大复兴的中国梦不懈奋斗。','牢记使命','A:继续前进 B:牢记使命 C:方得始终 D:砥砺前行','单选题'
'中共十九大大会的主题是:不忘初心，_____，高举中国特色社会主义伟大旗帜，决胜全面建成小康社会，夺取新时代中国特色社会主义伟大胜利，为实现中华民族伟大复兴的中国梦不懈奋斗。。','牢记使命',,
'中共十九大报告指出，统筹推进“五位一体”的总体布局，协调推进“四个全面”战略布局，提高党_____的能力和定力，确保党始终总揽全局、协调各方。','A:把方向  B:谋大局 C:定政策 D:促改革','A:把方向  B:谋大局 C:定政策 D:促改革','多选题'
'中共十九大报告指出，建设_____的马克思主义执政党，使我们党始终走在时代前列，成为领导全国人民沿着中国特色社会主义道路不断前进的坚强核心。','服务型学习型创新型',,
'中共十九大报告指出，贯彻新发展理念，建设现代化经济体系，必须坚持质量第一、效益优先，以_____为主线。','供给侧结构性改革','A:供应结构性改革 B:市场经济改革 C:社会主义市场经济改革 D:供给侧结构性改革','单选题'
'中共十九大报告指出，必须坚定不移走中国特色社会主义法治道路，完善以_____为核心的中国特色社会主义法律体系。','宪法','A:民法 B:宪法 C:监察法 D:刑法','单选题'
'中共十九大报告指出，_____是中华民族永续发展的千年大计。','D:建设生态文明','A:全民建成小康社会 B:增进民生福祉 C:民主法制建设 D:建设生态文明',
'中共十九大报告指出，_____是中国特色社会主义的本质要求和重要保障。','全面依法治国','A:全面依法治国 B:全面深化改革 C:全面改革开放 D:全面可持续发展','单选题'
'中共十九大报告指出，_____是改革开放以来党的全部理论和实践的主题，是党和人民历尽千辛万苦、付出巨大代价取得的根本成就。','中国特色社会主义',,
'中共_____根据全面开创中国特色社会主义事业新局面的要求，在深刻分析党和国家面临的新形势新任务的基础上，确定了全面建设小康社会的奋斗目标。','十六大','A:十四大 B:十五大 C:十六大 D:十七大','单选题'
'中电海康总部展厅是哪一天真是启用开放的？','2022年9月4日','A:2022年9月1日 B:2022年9月4日 C:2022年8月8日 D:2021年9月4日','单选题'
'中电海康总部基地的地址是杭州市余杭区聚橙街198号','错误','A:正确 B:错误 ','判断题'
'中电海康拥有智能物联网领域较完整的产业布局，涵盖智慧城市、汽车制造、高端存储芯片、数字安防、数字存储、智能控制、机器人、智能照明、光学仪器等业务。','错误，没有汽车制造','A:正确 B:错误 ','判断题'
'中电海康要顺势而为履行全面数字化转型的使命和担当，要做到以下哪些？','A:要成为并巩固数字化转型引领者的地位 B:提供好的数字化基础设施，成为支撑国家全面数字化转型的重要支撑单位 ','A:要成为并巩固数字化转型引领者的地位 B:提供好的数字化基础设施，成为支撑国家全面数字化转型的重要支撑单位 C:要成为并巩固数字化转型竞争者的地位 D:要成为并巩固数字化转型倡导者的地位',
'中电海康要成为中国企业技术创新的实践者和骨干力量。','正确','A:正确 B:错误 ','判断题'
'中电海康要成为全球数字经济发展的重要参与者和引领者。','正确',,
'中电海康要成为国有企业深化改革的探路者和推动者。','正确','A:正确 B:错误 ','判断题'
'中电海康文化三色基因是_____。','A:红色-不忘初心 B:绿色-扎根市场 C:蓝色-改革创新','A:红色-不忘初心 B:绿色-扎根市场 C:蓝色-改革创新 D:红色-艰苦奋斗','多选题'
'中电海康数字化转型和全面发展阶段是2014年至今。','错误','A:正确 B:错误 ','判断题'
'中电海康是中国企业技术创新的实践者和骨干力量。','正确','A:正确 B:错误 ','判断题'
'中电海康是中国电科核心骨干企业，是智能物联网领域的龙头企业和全球化企业。','正确','A:正确 B:错误 ','判断题'
'中电海康是全球数字经济发展的重要参与者和引领者。','正确','A:正确 B:错误 ','判断题'
'中电海康是国有企业深化改革的探路者和推动者。','正确','A:正确 B:错误 ',
'中电海康使命定位是率先成为世界一流的高科技国有企业，为建成世界一流军队提供重要支撑。','正确','A:正确 B:错误 ',
'中电海康使命承诺是成就客户，成就员工，回馈股东，回馈社会。','正确','A:正确 B:错误 ',
'中电海康三色基因中，扎根市场指的是_____。','洞见全球市场脉络 基于规则稳健发展','A:坚持党的全面领导 艰苦奋斗树立典范 B:洞见全球市场脉络 基于规则稳健发展 C:推动改革支持创新 技术驱动厚积薄发 D:牢记使命 砥砺前行',
'中电海康三色基因中，改革创新指的是_____。','推动改革支持创新 技术驱动厚积薄发','A:坚持党的全面领导 艰苦奋斗树立典范 B:洞见全球市场脉络 基于规则稳健发展 C:推动改革支持创新 技术驱动厚积薄发 D:牢记使命 砥砺前行',
'中电海康三色基因中，不忘初心指的是_____。','牢记使命 砥砺前行','A:坚持党的全面领导 艰苦奋斗树立典范 B:洞见全球市场脉络 基于规则稳健发展 C:推动改革支持创新 技术驱动厚积薄发 D:牢记使命 砥砺前行','单选题'
'中电海康全面数字化转型要注意以下几个方面？','A:数字化、网络化、智能化的全面融合 B:经营的各个环节全部数字化','A:数字化、网络化、智能化的全面融合 B:经营的各个环节全部数字化 C:只要做好数字化和智能化的融合 D:只要做好网络化和智能化的融合','多选题'
'中电海康企业愿景中“启智开物”含义为：启智意味着启迪智慧，开物的本意在于通晓万物的道理。中电海康的启智与开物就是长期深耕于物联网领域，用技术投入创造出赋能用户、引领行业的高质量产品。','正确','A:正确 B:错误 ','判断题'
'中电海康企业愿景“善见行远”含义为：善见的背后是善念，企业的善念就是长期秉持商业道德和伦理、怀有社会责任心；善见的眼前是社会进步的需要和市场用户的需求。善见行远就是坚守底线、深入市场和用户，追求可持续、可预期、有效益的健康发展。','正确','A:正确 B:错误 ','判断题'
'中电海康企业使命中的“用科技与智慧，构建万物互联的智能世界”，是指在中电海康，我们专注智能物联网领域的产业布局。通过在人工智能、大数据、信息存储、微纳技术等领域的投入和创新，助力全人类构建万物互联的智能世界，让万事万物连接更智能更高效。将海康人的智慧转化为影响世界、 改变世界的产品和服务。','正确','A:正确 B:错误 ','判断题'
'中电海康绿色基因代表着效益为先。','错误','A:正确 B:错误 ',
'中电海康结对帮扶的是丽水市莲都区仙渡乡坑田村。','错误','A:正确 B:错误 ','判断题'
'中电海康红色基因代表着砥砺前行。','错误   注：红色代表不忘初心',,
'中电海康核心价值观中以人为本的行为准则指的是_____。','A:弘扬企业家精神，尊重、信任、支持企业家，鼓励、培养更多工程师成为创业者，成长为企业家 B:成就员工，倡导自我迭代，敢于开创，不惧挑战 C:鼓励价值创造，倡导价值与贡献相匹配 D:懂得感恩，承认前人贡献，尊重先辈传承','A:弘扬企业家精神，尊重、信任、支持企业家，鼓励、培养更多工程师成为创业者，成长为企业家 B:成就员工，倡导自我迭代，敢于开创，不惧挑战 C:鼓励价值创造，倡导价值与贡献相匹配 D:懂得感恩，承认前人贡献，尊重先辈传承',
'中电海康核心价值观中简单务的行为准则实指的是_____。','A:低调务实，直接精确，讲究工作效率 B:简单透明，协同高效 C:善用优势资源，专注优势领域','A:低调务实，直接精确，讲究工作效率 B:简单透明，协同高效 C:善用优势资源，专注优势领域 D:深耕专业领域','多选题'
'中电海康核心价值观中创新驱动的行为准则指的是_____。','A:对新技术、新模式常怀好奇心和探索欲 B:不断学习、持续挑战、勇于超越 C:营造创新氛围，构建创新体系，包容创新失败 D:注重科技成果转化，倡导低成本、低风险创新','A:对新技术、新模式常怀好奇心和探索欲 B:不断学习、持续挑战、勇于超越 C:营造创新氛围，构建创新体系，包容创新失败 D:注重科技成果转化，倡导低成本、低风险创新','多选题'
'中电海康核心价值观中持续改革的行为准则指的是_____。','A:坚定发展主航道，把握改革方向 B:善抓机遇，主动求变，不等不靠 C:以提升核心竞争力为目标不断优化经营管理与技术创新模式','A:坚定发展主航道，把握改革方向 B:善抓机遇，主动求变，不等不靠 C:以提升核心竞争力为目标不断优化经营管理与技术创新模式 D:支持改革创新','多选题'
'中电海康核心价值观是_____。','以人为本、聚焦市场持续改革、创新驱动简单务实',,
'中电海康服务领域是物联网技术赋能幸福经济、安全经济、健康经济。','正确','A:正确 B:错误 ','判断题'
'中电海康的文化基因是我们之所以能够发展至今的宝贵精神传承，四种基因在中电海康的发展历程中深度融合相辅相成，构成了我们最为深刻的文化烙印。','错误，三种基因',,
'中电海康的三大战略成果是_________。','A:一套完整的物联网体系架构 B:一套成熟的技术创新体系 C:一支几万人的年轻、专业、有活力的人才团队','A:一套完整的物联网体系架构 B:一套成熟的技术创新体系 C:一支几万人的年轻、专业、有活力的人才团队 D:一套完整的互联网体系架构','多选题'
'中电海康的企业愿景：启智开物，善见行远——成为值得信赖的世界一流国有高科技企业','正确','A:正确 B:错误 ','判断题'
'中电海康的企业文化建设应当兼顾承接中国电科文化、传承研究所传统文化、提炼海康威视文化体系，指导下属各单位形成特色文化的功能定位。','正确','A:正确 B:错误 ','判断题'
'中电海康的企业使命：用科技与智慧，构建万物互联的智能世界，服务于人类的幸福安康。','正确','A:正确 B:错误 ','判断题'
'中电海康的企业定位是以_____转型为主线，发展物联网产业，成为物联网领域产品、解决方案和大数据服务提供商。','全面数字化（物联网化）','A:全面数字化（物联网化） B:全面信息化（物联网化） C:市场为导向 D:技术创新','单选题'
'中电海康的内部期刊叫《海康视界》？','错误','A:正确 B:错误 ','判断题'
'中电海康的蓝色基因代表改革创新。','正确','A:正确 B:错误 ','判断题'
'中电海康的艰苦创业阶段是1984年-1999年。','正确',,
'中电海康的红色基因代表着砥砺前行。','错误，红色基因代表着不忘初心',,
'中电海康的持续发展阶段是2005年-2015年。','错误，应该是2000到2015年','A:正确 B:错误 ','判断题'
'中电海康的“使命链”是“改革-创新-发展-使命”链。','正确',,
'中电海康的“三军”建设是指“培养敢打硬仗生力军、锻造能挑大梁主力军、争当创新驱动发展先行军”。','正确','A:正确 B:错误 ','判断题'
'中电海康的“三军”建设是指“培养敢打硬仗生力军、缔造能挑大梁主力军、争当创新驱动发展先行军”。','正确','A:正确 B:错误 ','判断题'
'中电海康到目前为止共经历了三个历史阶段，分别是_________。','A:艰苦创业阶段 B:持续发展阶段 C:数字化转型和全面发展阶段','A:艰苦创业阶段 B:持续发展阶段 C:数字化转型和全面发展阶段 D:拥抱市场阶段','多选题'
'中电海康党委的四个领导小组分别是___________。','A:创新与改革领导小组 B:干部与人才工作领导小组 C:战略与融合发展领导小组 D:综合监督领导小组','A:创新与改革领导小组 B:干部与人才工作领导小组 C:战略与融合发展领导小组 D:综合监督领导小组','多选题'
'中电海康党建基层工作“三重点”是指？','A:加强核心骨干培养使用 B:密切联系群众 C:提升基层组织战斗力 ','A:加强核心骨干培养使用 B:密切联系群众 C:提升基层组织战斗力 D:提升基层组织凝聚力','多选题'
'中电海康党建工作:就是要保证这条使命链环环相扣、畅通无阻。具体就是“推动改革、支持创新、确保发展、对表使命”，实现“党的建设、人才驱动、规范经营”有机统一。','错误，实现“党的领导、人才驱动、规范经营”有机统一','A:正确 B:错误 ','判断题'
